replicant,outcome,duration,anomaly_count,anomaly_time,anomaly_vehicle,anomaly_activity
0,True,298.15034866497007,2,0.0,MTV,Countdown
1,False,288.0417884297476,2,288.0417884297476,MTV,Mars Checkout
2,True,288.0215171662294,0,,,
3,True,288.16077189522025,0,,,
4,True,288.2919359609532,0,,,
5,True,295.10456967323967,2,0.0,MTV,Countdown
6,True,288.02988772265144,0,,,
7,True,288.04377484264575,0,,,
8,True,288.0122988424822,0,,,
9,True,309.273624190198,2,0.0,MTV,Countdown
9,True,309.273624190198,3,7.369420475158158,MTV,Ascent
10,True,288.00993237825367,0,,,
11,True,307.8077093114646,2,0.0,MTV,Countdown
11,True,307.8077093114646,3,9.671603924744579,MTV,Countdown
12,True,288.47589824552387,0,,,
13,True,288.07837036420176,0,,,
14,True,288.00062214210953,0,,,
15,True,288.00041889980116,0,,,
16,True,288.2918358495992,0,,,
17,True,306.945428296238,2,0.0,MTV,Countdown
17,True,306.945428296238,3,4.125973660592611,MTV,Countdown
17,True,306.945428296238,4,12.168794766601291,MTV,Countdown
18,True,288.2141390308069,0,,,
19,True,288.2903896553256,0,,,
20,True,294.16355284244366,2,0.0,MTV,Countdown
21,True,295.254319868028,2,0.0,MTV,Countdown
21,True,295.254319868028,3,3.177292539294838,MTV,Countdown
22,True,288.0257402138701,0,,,
23,True,288.00000005819584,0,,,
24,True,289.51688189055056,0,,,
25,True,314.66870222116006,2,3.0,MTV,Ascent
26,False,288.7662741628146,2,288.7662741628146,MTV,Mars Checkout
27,True,288.3043557273655,0,,,
28,True,288.0004925022779,0,,,
29,True,288.01128403475536,0,,,
30,True,288.0106433408347,0,,,
31,True,288.40888110350113,0,,,
32,True,295.9324088298072,2,0.0,MTV,Countdown
33,True,288.0482906951057,0,,,
34,True,288.0258554435896,0,,,
35,True,288.39107557812133,0,,,
36,True,314.7957150979182,2,3.0,MTV,Ascent
37,True,288.108167738152,0,,,
38,True,288.8470993545716,0,,,
39,True,288.2385244453346,0,,,
40,True,288.2507967615278,0,,,
41,True,293.42993917666075,2,0.0,MTV,Countdown
42,True,288.0074307376953,0,,,
43,True,288.5036086969457,0,,,
44,True,293.9919148252261,2,0.0,MTV,Countdown
45,True,288.02039450591764,0,,,
46,True,292.9539730353394,2,0.0,MTV,Countdown
47,True,288.0830477849637,0,,,
48,True,288.0024631312761,0,,,
49,True,288.04455348840963,0,,,
50,True,288.0008518114148,0,,,
51,True,288.0231773206821,0,,,
52,True,299.4495465925537,2,0.0,MTV,Countdown
52,True,299.4495465925537,3,7.819788115555342,MTV,Countdown
53,True,288.0413320129528,0,,,
54,True,288.0000170982708,0,,,
55,True,291.53532037824294,2,0.0,MTV,Countdown
56,True,293.27470314135456,2,0.0,MTV,Countdown
57,True,288.0890806551267,0,,,
58,True,288.0095904006931,0,,,
59,True,288.0800959039102,0,,,
60,True,288.00125472819116,0,,,
61,True,288.00651190415016,0,,,
62,True,297.4571203475652,2,0.0,MTV,Countdown
62,True,297.4571203475652,3,5.586057249755646,MTV,Countdown
63,True,288.00041875236604,0,,,
64,True,290.3084077755344,0,,,
65,True,288.05449632378264,0,,,
66,True,310.96575532114775,2,0.0,MTV,Countdown
66,True,310.96575532114775,3,4.081902987357546,MTV,Countdown
66,True,310.96575532114775,4,14.397775977189266,MTV,Countdown
67,True,288.00039874149854,0,,,
68,True,288.1649642107272,0,,,
69,True,288.0587036144084,0,,,
70,True,288.54483973843924,0,,,
71,True,288.61619813629375,0,,,
72,True,288.4754272424299,0,,,
73,True,288.0123085005099,0,,,
74,True,288.04098373030655,0,,,
75,True,288.0251108716926,0,,,
76,True,288.0741132434471,0,,,
