replicant,outcome,duration,anomaly_count,anomaly_time,anomaly_vehicle,anomaly_activity
1,True,68.4707114883772,2,12.5,Tanker,Countdown
1,True,68.4707114883772,3,53.09022916740014,Tanker,Countdown
0,True,91.27515496684389,2,6.0,Tanker,Countdown
0,True,91.27515496684389,3,27.09022916740014,Tanker,Countdown
0,True,91.27515496684389,4,41.46649647587047,Tanker,Countdown
0,True,91.27515496684389,5,48.78771630093381,Tanker,Countdown
0,True,91.27515496684389,6,64.07536648604557,Tanker,Countdown
0,True,91.27515496684389,7,65.64071602371463,Tanker,Countdown
0,True,91.27515496684389,8,67.75401008272014,Tanker,Countdown
0,True,91.27515496684389,9,71.42476140680735,Tanker,Countdown
6,False,67.05996493109171,2,19.0,Tanker,Ascent
6,False,67.05996493109171,3,67.05996493109171,Tanker,Return to Base
4,True,67.10206736555241,2,45.0,Tanker,Countdown
2,True,78.3382251782407,2,0.0,MTV,Countdown
2,True,78.3382251782407,3,36.59022916740014,Tanker,Countdown
2,True,78.3382251782407,4,37.96649647587047,Tanker,Countdown
2,True,78.3382251782407,5,58.28771630093381,Tanker,Countdown
2,True,78.3382251782407,6,60.575366486045574,Tanker,Countdown
2,True,78.3382251782407,7,62.140716023714646,Tanker,Countdown
9,True,74.59068098088983,2,0.0,MTV,Countdown
9,True,74.59068098088983,3,17.09022916740014,Tanker,Countdown
9,True,74.59068098088983,4,31.46649647587047,Tanker,Countdown
9,True,74.59068098088983,5,58.28771630093381,Tanker,Countdown
5,True,85.16862859733857,2,0.0,MTV,Countdown
5,True,85.16862859733857,3,11.09022916740014,MTV,Countdown
5,True,85.16862859733857,4,15.466496475870473,MTV,Countdown
5,True,85.16862859733857,5,19.28771630093381,MTV,Countdown
5,True,85.16862859733857,6,43.57536648604558,Tanker,Countdown
3,True,71.59068098088984,2,25.5,Tanker,Countdown
3,True,71.59068098088984,3,40.09022916740014,Tanker,Countdown
3,True,71.59068098088984,4,47.96649647587047,Tanker,Countdown
3,True,71.59068098088984,5,61.78771630093381,Tanker,Countdown
7,True,73.16862859733857,2,19.0,Tanker,Countdown
7,True,73.16862859733857,3,27.09022916740014,Tanker,Countdown
7,True,73.16862859733857,4,28.46649647587047,Tanker,Countdown
7,True,73.16862859733857,5,29.28771630093381,Tanker,Countdown
7,True,73.16862859733857,6,57.57536648604558,Tanker,Countdown
