replicant,outcome,duration,anomaly_count,anomaly_time,anomaly_vehicle,anomaly_activity
6,True,19.854468702900554,2,0.0,MTV,Countdown
3,True,13.558771759743298,0,,,
8,True,26.64291547460727,2,0.0,MTV,Countdown
8,True,26.64291547460727,3,12.066509670444182,Tanker,Countdown
4,True,13.558771759743298,0,,,
0,True,36.150323306907055,2,0.0,MTV,Countdown
0,True,36.150323306907055,3,6.066509670444182,MTV,Countdown
0,True,36.150323306907055,4,21.854251945532383,Tanker,Countdown
7,True,13.558771759743298,0,,,
5,False,34.150292311214585,2,0.0,MTV,Countdown
5,False,34.150292311214585,3,6.066509670444182,MTV,Countdown
5,False,34.150292311214585,4,21.854251945532383,Tanker,Countdown
5,False,34.150292311214585,5,34.150292311214585,Tanker,Return to Base
1,True,13.558771759743298,0,,,
2,True,13.558771759743298,0,,,
12,True,13.558771759743298,0,,,
10,True,26.64291547460727,2,0.0,MTV,Countdown
10,True,26.64291547460727,3,12.066509670444182,Tanker,Countdown
14,True,13.558771759743298,0,,,
13,True,13.558771759743298,0,,,
15,True,13.558771759743298,0,,,
11,True,16.854468702900554,2,6.0,Tanker,Countdown
18,True,13.558771759743298,0,,,
16,True,13.558771759743298,0,,,
19,True,13.558771759743298,0,,,
21,True,16.854468702900554,2,6.0,Tanker,Countdown
17,True,13.558771759743298,0,,,
25,True,19.854468702900554,2,0.0,MTV,Countdown
24,True,16.854468702900554,2,6.0,Tanker,Countdown
26,True,13.558771759743298,0,,,
9,True,19.854468702900554,2,0.0,MTV,Countdown
22,True,16.854468702900554,2,6.0,Tanker,Countdown
23,True,19.854468702900554,2,0.0,MTV,Countdown
30,True,13.558771759743298,0,,,
28,True,16.854468702900554,2,6.0,Tanker,Countdown
29,True,19.854468702900554,2,0.0,MTV,Countdown
32,True,13.558771759743298,0,,,
33,True,13.558771759743298,0,,,
31,True,19.854468702900554,2,0.0,MTV,Countdown
20,True,13.558771759743298,0,,,
38,True,13.558771759743298,0,,,
36,True,16.854468702900554,2,6.0,Tanker,Countdown
34,True,13.558771759743298,0,,,
39,True,19.854468702900554,2,0.0,MTV,Countdown
37,True,19.854468702900554,2,0.0,MTV,Countdown
40,True,19.854468702900554,2,0.0,MTV,Countdown
35,True,19.854468702900554,2,0.0,MTV,Countdown
