replicant,outcome,duration,anomaly_count,anomaly_time,anomaly_vehicle,anomaly_activity
2,False,10.0,2,10.0,Tanker,RPOD
0,True,83.15257522143757,2,12.5,Tanker,Countdown
0,True,83.15257522143757,3,36.64144997986186,Tanker,Countdown
0,True,83.15257522143757,4,53.20013400491255,Tanker,Countdown
1,True,80.2532981768504,2,58.0,Tanker,Countdown
1,True,80.2532981768504,3,69.14144997986186,Tanker,Countdown
5,False,86.75200208011498,2,12.5,Tanker,Countdown
5,False,86.75200208011498,3,23.64144997986186,Tanker,Countdown
5,False,86.75200208011498,4,27.200134004912545,Tanker,Countdown
5,False,86.75200208011498,5,43.116684623375335,Tanker,Ascent
5,False,86.75200208011498,6,86.75200208011498,Tanker,RPOD
4,True,100.73055535850581,2,7.0,Tanker,Orbit Insertion
4,True,100.73055535850581,3,31.521602846097043,Tanker,Countdown
4,True,100.73055535850581,4,80.58028687114773,Tanker,Countdown
4,True,100.73055535850581,5,89.99683748961053,Tanker,Countdown
3,True,115.86965690593955,2,6.0,Tanker,Countdown
3,True,115.86965690593955,3,10.64144997986186,Tanker,Countdown
3,True,115.86965690593955,4,14.200134004912545,Tanker,Countdown
3,True,115.86965690593955,5,30.11668462337534,Tanker,Countdown
3,True,115.86965690593955,6,39.01303511734701,Tanker,Countdown
3,True,115.86965690593955,7,57.08795541892054,Tanker,Countdown
3,True,115.86965690593955,8,83.09887022207971,Tanker,Countdown
6,True,76.72060142980031,2,64.5,Tanker,Countdown
7,False,80.59887022207971,2,6.0,Tanker,Countdown
7,False,80.59887022207971,3,17.14144997986186,Tanker,Countdown
7,False,80.59887022207971,4,20.700134004912545,Tanker,Countdown
7,False,80.59887022207971,5,36.616684623375335,Tanker,Countdown
7,False,80.59887022207971,6,39.013035117347,Tanker,Countdown
7,False,80.59887022207971,7,57.08795541892053,Tanker,Countdown
7,False,80.59887022207971,8,80.59887022207971,Tanker,RPOD
10,True,76.72060142980031,2,6.0,Tanker,Countdown
8,True,83.15257522143757,2,6.0,Tanker,Countdown
8,True,83.15257522143757,3,62.64144997986186,Tanker,Countdown
8,True,83.15257522143757,4,72.70013400491254,Tanker,Countdown
11,False,68.11668462337533,2,6.0,Tanker,Countdown
11,False,68.11668462337533,3,10.64144997986186,Tanker,Countdown
11,False,68.11668462337533,4,53.20013400491254,Tanker,Countdown
11,False,68.11668462337533,5,68.11668462337533,Tanker,Return to Base
12,True,72.13464411197225,0,,,
9,True,110.35463562841981,2,0.0,MTV,Countdown
9,True,110.35463562841981,3,7.64144997986186,MTV,Countdown
9,True,110.35463562841981,4,33.20013400491254,Tanker,Countdown
9,True,110.35463562841981,5,55.616684623375335,Tanker,Countdown
9,True,110.35463562841981,6,58.013035117347,Tanker,Countdown
9,True,110.35463562841981,7,76.08795541892053,Tanker,Countdown
14,True,80.2532981768504,2,6.0,Tanker,Countdown
14,True,80.2532981768504,3,36.64144997986186,Tanker,Countdown
13,True,97.35290549125803,2,6.0,Tanker,Countdown
13,True,97.35290549125803,3,36.64144997986186,Tanker,Countdown
13,True,97.35290549125803,4,53.20013400491255,Tanker,Countdown
13,True,97.35290549125803,5,62.61668462337534,Tanker,Countdown
13,True,97.35290549125803,6,78.01303511734702,Tanker,Countdown
15,True,89.35040249227062,2,0.0,MTV,Countdown
15,True,89.35040249227062,3,26.64144997986186,Tanker,Countdown
15,True,89.35040249227062,4,36.70013400491254,Tanker,Countdown
15,True,89.35040249227062,5,52.616684623375335,Tanker,Countdown
16,False,86.513035117347,2,0.0,MTV,Countdown
16,False,86.513035117347,3,39.64144997986186,Tanker,Countdown
16,False,86.513035117347,4,49.70013400491255,Tanker,Countdown
16,False,86.513035117347,5,72.11668462337533,Tanker,Countdown
16,False,86.513035117347,6,86.513035117347,Tanker,Return to Base
18,True,76.72060142980031,2,12.5,Tanker,Countdown
17,True,104.39499634949821,2,25.5,Tanker,Ascent
17,True,104.39499634949821,3,49.02160284609704,Tanker,Ascent
25,False,39.08028687114773,2,7.0,Tanker,Orbit Insertion
25,False,39.08028687114773,3,31.521602846097043,Tanker,Countdown
25,False,39.08028687114773,4,39.08028687114773,Tanker,RPOD
21,True,72.13464411197225,0,,,
20,True,86.35040249227062,2,12.5,Tanker,Countdown
20,True,86.35040249227062,3,17.14144997986186,Tanker,Countdown
20,True,86.35040249227062,4,46.70013400491254,Tanker,Countdown
20,True,86.35040249227062,5,75.61668462337533,Tanker,Countdown
19,True,107.35463562841981,2,0.0,MTV,Countdown
19,True,107.35463562841981,3,20.14144997986186,Tanker,Countdown
19,True,107.35463562841981,4,23.700134004912545,Tanker,Countdown
19,True,107.35463562841981,5,33.116684623375335,Tanker,Countdown
19,True,107.35463562841981,6,55.013035117347,Tanker,Countdown
19,True,107.35463562841981,7,86.08795541892053,Tanker,Countdown
22,True,83.15257522143757,2,12.5,Tanker,Countdown
22,True,83.15257522143757,3,23.64144997986186,Tanker,Countdown
22,True,83.15257522143757,4,46.70013400491254,Tanker,Countdown
32,False,3.0,2,3.0,MTV,Ascent
23,True,80.2532981768504,2,32.0,Tanker,Countdown
23,True,80.2532981768504,3,62.64144997986186,Tanker,Countdown
24,True,80.2532981768504,2,6.0,Tanker,Countdown
24,True,80.2532981768504,3,56.14144997986186,Tanker,Countdown
26,True,83.15257522143757,2,38.5,Tanker,Countdown
26,True,83.15257522143757,3,49.64144997986186,Tanker,Countdown
26,True,83.15257522143757,4,59.70013400491255,Tanker,Countdown
30,True,76.72060142980031,2,45.0,Tanker,Countdown
28,True,97.35290549125801,2,12.5,Tanker,Countdown
28,True,97.35290549125801,3,23.64144997986186,Tanker,Countdown
28,True,97.35290549125801,4,40.20013400491254,Tanker,Countdown
28,True,97.35290549125801,5,43.116684623375335,Tanker,Countdown
28,True,97.35290549125801,6,52.013035117347,Tanker,Countdown
31,True,76.72060142980031,2,32.0,Tanker,Countdown
27,True,118.03651488171685,2,6.0,Tanker,Countdown
27,True,118.03651488171685,3,10.64144997986186,Tanker,Countdown
27,True,118.03651488171685,4,20.700134004912545,Tanker,Countdown
27,True,118.03651488171685,5,36.616684623375335,Tanker,Countdown
27,True,118.03651488171685,6,52.013035117347,Tanker,Countdown
27,True,118.03651488171685,7,70.08795541892053,Tanker,Ascent
29,True,118.03651488171685,2,6.0,Tanker,Countdown
29,True,118.03651488171685,3,23.64144997986186,Tanker,Countdown
29,True,118.03651488171685,4,27.200134004912545,Tanker,Countdown
29,True,118.03651488171685,5,49.616684623375335,Tanker,Countdown
29,True,118.03651488171685,6,65.013035117347,Tanker,Countdown
29,True,118.03651488171685,7,76.58795541892053,Tanker,Ascent
33,True,80.2532981768504,2,25.5,Tanker,Countdown
33,True,80.2532981768504,3,62.64144997986186,Tanker,Countdown
34,True,80.2532981768504,2,38.5,Tanker,Countdown
34,True,80.2532981768504,3,56.14144997986186,Tanker,Countdown
35,True,86.15257522143757,2,0.0,MTV,Countdown
35,True,86.15257522143757,3,20.14144997986186,Tanker,Countdown
35,True,86.15257522143757,4,43.20013400491254,Tanker,Countdown
36,True,83.15257522143757,2,25.5,Tanker,Countdown
36,True,83.15257522143757,3,36.64144997986186,Tanker,Countdown
36,True,83.15257522143757,4,66.20013400491254,Tanker,Countdown
38,False,57.20013400491255,2,25.5,Tanker,Countdown
38,False,57.20013400491255,3,36.64144997986186,Tanker,Countdown
38,False,57.20013400491255,4,57.20013400491255,Tanker,RPOD
37,True,97.35290549125803,2,19.0,Tanker,Countdown
37,True,97.35290549125803,3,30.14144997986186,Tanker,Countdown
37,True,97.35290549125803,4,59.70013400491255,Tanker,Countdown
37,True,97.35290549125803,5,62.61668462337534,Tanker,Countdown
37,True,97.35290549125803,6,65.01303511734702,Tanker,Countdown
39,True,72.13464411197225,0,,,
40,True,76.72060142980031,2,32.0,Tanker,Countdown
45,False,46.14144997986186,2,19.0,Tanker,Countdown
45,False,46.14144997986186,3,46.14144997986186,Tanker,Redezvous
48,False,16.5,2,16.5,Tanker,RPOD
41,True,80.2532981768504,2,19.0,Tanker,Countdown
41,True,80.2532981768504,3,69.14144997986186,Tanker,Countdown
44,True,76.72060142980031,2,6.0,Tanker,Countdown
42,True,83.15257522143757,2,12.5,Tanker,Countdown
42,True,83.15257522143757,3,17.14144997986186,Tanker,Countdown
42,True,83.15257522143757,4,46.70013400491254,Tanker,Countdown
46,True,76.72060142980031,2,51.5,Tanker,Countdown
43,True,153.54714201009588,2,0.0,MTV,Countdown
43,True,153.54714201009588,3,26.64144997986186,Tanker,Countdown
43,True,153.54714201009588,4,30.200134004912545,Tanker,Ascent
43,True,153.54714201009588,5,51.06898585741446,Tanker,Countdown
43,True,153.54714201009588,6,66.46533635138613,Tanker,Countdown
43,True,153.54714201009588,7,78.04025665295966,Tanker,Countdown
43,True,153.54714201009588,8,84.55117145611882,Tanker,Countdown
43,True,153.54714201009588,9,115.04764657382904,Tanker,Countdown
43,True,153.54714201009588,10,129.32664690942462,Tanker,Countdown
43,True,153.54714201009588,11,136.05274658362117,Tanker,Countdown
47,True,83.15257522143757,2,58.0,Tanker,Countdown
47,True,83.15257522143757,3,69.14144997986186,Tanker,Countdown
47,True,83.15257522143757,4,72.70013400491254,Tanker,Countdown
49,True,94.01484348326304,2,19.0,Tanker,Countdown
49,True,94.01484348326304,3,31.14144997986186,Tanker,Orbit Insertion
57,False,34.14144997986186,2,19.0,Tanker,Countdown
57,False,34.14144997986186,3,34.14144997986186,Tanker,RPOD
52,True,80.2532981768504,2,6.0,Tanker,Countdown
52,True,80.2532981768504,3,69.14144997986186,Tanker,Countdown
51,True,80.2532981768504,2,51.5,Tanker,Countdown
51,True,80.2532981768504,3,62.64144997986186,Tanker,Countdown
54,True,76.72060142980031,2,58.0,Tanker,Countdown
53,True,83.15257522143757,2,25.5,Tanker,Countdown
53,True,83.15257522143757,3,56.14144997986186,Tanker,Countdown
53,True,83.15257522143757,4,72.70013400491254,Tanker,Countdown
50,True,100.35290549125803,2,0.0,MTV,Countdown
50,True,100.35290549125803,3,33.14144997986186,Tanker,Countdown
50,True,100.35290549125803,4,36.70013400491255,Tanker,Countdown
50,True,100.35290549125803,5,52.61668462337534,Tanker,Countdown
50,True,100.35290549125803,6,61.51303511734701,Tanker,Countdown
59,False,31.0,2,31.0,Tanker,Return to Base
58,False,65.20013400491254,2,12.5,Tanker,Countdown
58,False,65.20013400491254,3,49.64144997986186,Tanker,Countdown
58,False,65.20013400491254,4,65.20013400491254,Tanker,Return to Base
56,True,83.15257522143757,2,12.5,Tanker,Countdown
56,True,83.15257522143757,3,43.14144997986186,Tanker,Countdown
56,True,83.15257522143757,4,66.20013400491254,Tanker,Countdown
55,True,148.98250667572722,2,6.0,Tanker,Countdown
55,True,148.98250667572722,3,30.14144997986186,Tanker,Countdown
55,True,148.98250667572722,4,33.70013400491255,Tanker,Countdown
55,True,148.98250667572722,5,36.61668462337534,Tanker,Countdown
55,True,148.98250667572722,6,39.01303511734701,Tanker,Countdown
55,True,148.98250667572722,7,50.58795541892054,Tanker,Countdown
55,True,148.98250667572722,8,57.09887022207971,Tanker,Countdown
55,True,148.98250667572722,9,87.59534533978993,Tanker,Countdown
55,True,148.98250667572722,10,114.87434567538551,Tanker,Countdown
55,True,148.98250667572722,11,115.10044534958206,Tanker,Countdown
55,True,148.98250667572722,12,124.3944657469105,Tanker,Countdown
61,False,67.37822992978798,2,6.0,Tanker,Countdown
61,False,67.37822992978798,3,18.14144997986186,Tanker,Orbit Insertion
