replicant,outcome,duration,anomaly_count,anomaly_time,anomaly_vehicle,anomaly_activity
0,True,72.12708601053963,2,6.0,Tanker,Countdown
0,True,72.12708601053963,3,37.76271286636756,Tanker,Countdown
2,True,73.77683075973904,2,6.0,Tanker,Countdown
2,True,73.77683075973904,3,37.76271286636756,Tanker,Countdown
2,True,73.77683075973904,4,45.110132086462045,Tanker,Countdown
7,True,86.64806232173582,2,6.0,Tanker,Countdown
7,True,86.64806232173582,3,32.26271286636756,Tanker,Orbit Insertion
7,True,86.64806232173582,4,64.48136364845882,Tanker,Countdown
1,True,94.92754326490434,2,12.5,Tanker,Countdown
1,True,94.92754326490434,3,44.26271286636756,Tanker,Countdown
1,True,94.92754326490434,4,51.610132086462045,Tanker,Countdown
1,True,94.92754326490434,5,53.25713780971057,Tanker,Countdown
1,True,94.92754326490434,6,55.03220738709498,Tanker,Countdown
1,True,94.92754326490434,7,62.11119676360995,Tanker,Countdown
1,True,94.92754326490434,8,72.57978443790914,Tanker,Countdown
3,True,79.77683075973904,2,0.0,MTV,Countdown
3,True,79.77683075973904,3,15.262712866367558,MTV,Countdown
3,True,79.77683075973904,4,57.610132086462045,Tanker,Countdown
4,True,73.77683075973904,2,6.0,Tanker,Countdown
4,True,73.77683075973904,3,50.76271286636756,Tanker,Countdown
4,True,73.77683075973904,4,58.110132086462045,Tanker,Countdown
14,False,3.0,2,3.0,MTV,Ascent
5,True,76.2096323144137,2,12.5,Tanker,Countdown
5,True,76.2096323144137,3,24.762712866367558,Tanker,Countdown
5,True,76.2096323144137,4,32.110132086462045,Tanker,Countdown
5,True,76.2096323144137,5,66.25713780971057,Tanker,Countdown
5,True,76.2096323144137,6,68.03220738709499,Tanker,Countdown
16,False,4.0,2,4.0,MTV,Orbit Insertion
6,True,73.77683075973904,2,12.5,Tanker,Countdown
6,True,73.77683075973904,3,24.762712866367558,Tanker,Countdown
6,True,73.77683075973904,4,25.61013208646205,Tanker,Countdown
8,True,72.12708601053963,2,12.5,Tanker,Countdown
8,True,72.12708601053963,3,63.76271286636756,Tanker,Countdown
9,True,75.53430256645822,2,12.5,Tanker,Countdown
9,True,75.53430256645822,3,44.26271286636756,Tanker,Countdown
9,True,75.53430256645822,4,45.110132086462045,Tanker,Countdown
9,True,75.53430256645822,5,59.75713780971057,Tanker,Countdown
10,True,72.12708601053963,2,19.0,Tanker,Countdown
10,True,72.12708601053963,3,50.76271286636756,Tanker,Countdown
11,True,59.939838292768606,0,,,
13,False,66.90343894909175,2,12.5,Tanker,Countdown
13,False,66.90343894909175,3,38.76271286636756,Tanker,Orbit Insertion
13,False,66.90343894909175,4,51.48136364845882,Tanker,Countdown
13,False,66.90343894909175,5,59.62836937170734,Tanker,Countdown
13,False,66.90343894909175,6,66.90343894909175,Tanker,Return to Base
12,True,72.12708601053963,2,6.0,Tanker,Countdown
12,True,72.12708601053963,3,44.26271286636756,Tanker,Countdown
18,True,59.939838292768606,0,,,
19,True,59.939838292768606,0,,,
17,True,92.77898924406442,2,0.0,MTV,Countdown
17,True,92.77898924406442,3,15.262712866367558,MTV,Countdown
17,True,92.77898924406442,4,26.11013208646205,Tanker,Orbit Insertion
20,True,71.26720111220872,2,6.0,Tanker,Countdown
15,True,114.70176983047985,2,0.0,MTV,Countdown
15,True,114.70176983047985,3,27.762712866367558,Tanker,Countdown
15,True,114.70176983047985,4,28.61013208646205,Tanker,Countdown
15,True,114.70176983047985,5,37.75713780971057,Tanker,Orbit Insertion
15,True,114.70176983047985,6,64.56812025756537,Tanker,Countdown
15,True,114.70176983047985,7,65.14710963408034,Tanker,Countdown
15,True,114.70176983047985,8,69.11569730837954,Tanker,Countdown
15,True,114.70176983047985,9,96.8725409727654,Tanker,Countdown
21,True,81.44081215625367,2,6.0,Tanker,Countdown
21,True,81.44081215625367,3,24.762712866367558,Tanker,Countdown
