replicant,outcome,duration,anomaly_count,anomaly_time,anomaly_vehicle,anomaly_activity
5,False,24.5,2,24.5,Tanker,Return to Base
0,True,54.807896189394874,2,6.0,Tanker,Countdown
0,True,54.807896189394874,3,19.169631529453866,Tanker,Countdown
2,True,57.807896189394874,2,0.0,MTV,Countdown
2,True,57.807896189394874,3,35.169631529453866,Tanker,Countdown
1,True,54.807896189394874,2,38.5,Tanker,Countdown
1,True,54.807896189394874,3,45.169631529453866,Tanker,Countdown
4,True,54.807896189394874,2,19.0,Tanker,Countdown
4,True,54.807896189394874,3,25.669631529453866,Tanker,Countdown
8,True,55.69506195792872,2,0.0,MTV,Countdown
9,True,52.69506195792872,2,12.5,Tanker,Countdown
7,True,59.09644301190074,2,19.0,Tanker,Countdown
7,True,59.09644301190074,3,38.669631529453866,Tanker,Countdown
7,True,59.09644301190074,4,40.6867751921554,Tanker,Countdown
3,True,46.278024904616785,0,,,
10,True,52.69506195792872,2,19.0,Tanker,Countdown
6,True,59.09644301190074,2,25.5,Tanker,Countdown
6,True,59.09644301190074,3,38.669631529453866,Tanker,Countdown
6,True,59.09644301190074,4,47.1867751921554,Tanker,Countdown
12,True,54.807896189394874,2,12.5,Tanker,Countdown
12,True,54.807896189394874,3,45.169631529453866,Tanker,Countdown
13,True,57.807896189394874,2,0.0,MTV,Countdown
13,True,57.807896189394874,3,48.169631529453866,Tanker,Countdown
11,True,60.48878392002212,2,6.0,Tanker,Countdown
11,True,60.48878392002212,3,19.169631529453866,Tanker,Countdown
11,True,60.48878392002212,4,21.1867751921554,Tanker,Countdown
11,True,60.48878392002212,5,51.58897459226396,Tanker,Countdown
16,True,57.807896189394874,2,0.0,MTV,Countdown
16,True,57.807896189394874,3,22.169631529453866,Tanker,Countdown
15,True,59.09644301190074,2,12.5,Tanker,Countdown
15,True,59.09644301190074,3,25.669631529453866,Tanker,Countdown
15,True,59.09644301190074,4,27.6867751921554,Tanker,Countdown
17,True,60.48878392002212,2,12.5,Tanker,Countdown
17,True,60.48878392002212,3,19.169631529453866,Tanker,Countdown
17,True,60.48878392002212,4,40.6867751921554,Tanker,Countdown
17,True,60.48878392002212,5,45.08897459226396,Tanker,Countdown
14,True,67.18970768118417,2,19.0,Tanker,Countdown
14,True,67.18970768118417,3,32.169631529453866,Tanker,Countdown
14,True,67.18970768118417,4,34.1867751921554,Tanker,Countdown
14,True,67.18970768118417,5,38.58897459226396,Tanker,Countdown
14,True,67.18970768118417,6,46.18211097071133,Tanker,Countdown
20,True,57.807896189394874,2,0.0,MTV,Countdown
20,True,57.807896189394874,3,48.169631529453866,Tanker,Countdown
18,True,80.97075555389426,2,6.0,Tanker,Countdown
18,True,80.97075555389426,3,20.169631529453866,Tanker,Orbit Insertion
18,True,80.97075555389426,4,47.29442172074472,Tanker,Countdown
18,True,80.97075555389426,5,51.69662112085328,Tanker,Countdown
18,True,80.97075555389426,6,52.78975749930065,Tanker,Countdown
18,True,80.97075555389426,7,59.794589537952795,Tanker,Countdown
19,True,74.33038855250696,2,0.0,MTV,Countdown
19,True,74.33038855250696,3,22.169631529453866,Tanker,Countdown
19,True,74.33038855250696,4,43.6867751921554,Tanker,Ascent
22,True,57.807896189394874,2,0.0,MTV,Countdown
22,True,57.807896189394874,3,28.669631529453866,Tanker,Countdown
21,True,72.20408954049006,2,12.5,Tanker,Countdown
21,True,72.20408954049006,3,26.669631529453866,Tanker,Orbit Insertion
21,True,72.20408954049006,4,60.29442172074472,Tanker,Countdown
23,True,54.807896189394874,2,19.0,Tanker,Countdown
23,True,54.807896189394874,3,32.169631529453866,Tanker,Countdown
27,True,54.807896189394874,2,12.5,Tanker,Countdown
27,True,54.807896189394874,3,38.669631529453866,Tanker,Countdown
30,True,46.278024904616785,0,,,
25,True,52.69506195792872,2,25.5,Tanker,Countdown
24,True,60.48878392002212,2,6.0,Tanker,Countdown
24,True,60.48878392002212,3,12.669631529453866,Tanker,Countdown
24,True,60.48878392002212,4,34.1867751921554,Tanker,Countdown
24,True,60.48878392002212,5,51.58897459226396,Tanker,Countdown
32,False,31.6867751921554,2,6.0,Tanker,Countdown
32,False,31.6867751921554,3,12.669631529453866,Tanker,Countdown
32,False,31.6867751921554,4,31.6867751921554,Tanker,RPOD
28,True,52.69506195792872,2,38.5,Tanker,Countdown
26,True,67.18970768118417,2,12.5,Tanker,Countdown
26,True,67.18970768118417,3,38.669631529453866,Tanker,Countdown
26,True,67.18970768118417,4,47.1867751921554,Tanker,Countdown
26,True,67.18970768118417,5,51.58897459226396,Tanker,Countdown
26,True,67.18970768118417,6,52.68211097071133,Tanker,Countdown
33,True,65.09644301190073,2,0.0,MTV,Countdown
33,True,65.09644301190073,3,9.669631529453866,MTV,Countdown
33,True,65.09644301190073,4,20.6867751921554,Tanker,Countdown
29,True,67.86310902530495,2,12.5,Tanker,Countdown
29,True,67.86310902530495,3,19.169631529453866,Tanker,Countdown
29,True,67.86310902530495,4,27.6867751921554,Tanker,Countdown
29,True,67.86310902530495,5,32.08897459226396,Tanker,Countdown
29,True,67.86310902530495,6,46.18211097071133,Tanker,Countdown
29,True,67.86310902530495,7,53.186943009363475,Tanker,Countdown
31,True,54.807896189394874,2,38.5,Tanker,Countdown
31,True,54.807896189394874,3,45.169631529453866,Tanker,Countdown
35,True,52.69506195792872,2,25.5,Tanker,Countdown
34,False,46.1867751921554,2,6.0,Tanker,Countdown
34,False,46.1867751921554,3,12.669631529453866,Tanker,Countdown
34,False,46.1867751921554,4,46.1867751921554,Tanker,Return to Base
36,True,62.09644301190074,2,0.0,MTV,Countdown
36,True,62.09644301190074,3,41.669631529453866,Tanker,Countdown
36,True,62.09644301190074,4,50.1867751921554,Tanker,Countdown
37,True,54.807896189394874,2,25.5,Tanker,Countdown
37,True,54.807896189394874,3,38.669631529453866,Tanker,Countdown
40,False,42.5,2,42.5,Tanker,RPOD
38,True,72.90057014327317,2,6.0,Tanker,Ascent
38,True,72.90057014327317,3,52.4737586608263,Tanker,Countdown
38,True,72.90057014327317,4,54.490902323527834,Tanker,Countdown
39,True,63.48878392002212,2,0.0,MTV,Countdown
39,True,63.48878392002212,3,35.169631529453866,Tanker,Countdown
39,True,63.48878392002212,4,37.1867751921554,Tanker,Countdown
39,True,63.48878392002212,5,41.58897459226396,Tanker,Countdown
42,True,52.69506195792872,2,38.5,Tanker,Countdown
41,True,63.48878392002212,2,0.0,MTV,Countdown
41,True,63.48878392002212,3,35.169631529453866,Tanker,Countdown
41,True,63.48878392002212,4,37.1867751921554,Tanker,Countdown
41,True,63.48878392002212,5,41.58897459226396,Tanker,Countdown
43,True,60.48878392002212,2,6.0,Tanker,Countdown
43,True,60.48878392002212,3,19.169631529453866,Tanker,Countdown
43,True,60.48878392002212,4,21.1867751921554,Tanker,Countdown
43,True,60.48878392002212,5,38.58897459226396,Tanker,Countdown
47,True,46.278024904616785,0,,,
44,True,59.09644301190074,2,19.0,Tanker,Countdown
44,True,59.09644301190074,3,45.169631529453866,Tanker,Countdown
44,True,59.09644301190074,4,47.1867751921554,Tanker,Countdown
46,True,62.09644301190074,2,0.0,MTV,Countdown
46,True,62.09644301190074,3,22.169631529453866,Tanker,Countdown
46,True,62.09644301190074,4,37.1867751921554,Tanker,Countdown
45,True,67.18970768118417,2,12.5,Tanker,Countdown
45,True,67.18970768118417,3,32.169631529453866,Tanker,Countdown
45,True,67.18970768118417,4,34.1867751921554,Tanker,Countdown
45,True,67.18970768118417,5,45.08897459226396,Tanker,Countdown
45,True,67.18970768118417,6,46.18211097071133,Tanker,Countdown
49,True,59.09644301190074,2,6.0,Tanker,Countdown
49,True,59.09644301190074,3,12.669631529453866,Tanker,Countdown
49,True,59.09644301190074,4,21.1867751921554,Tanker,Countdown
48,True,73.18970768118417,2,0.0,MTV,Countdown
48,True,73.18970768118417,3,9.669631529453866,MTV,Countdown
48,True,73.18970768118417,4,46.6867751921554,Tanker,Countdown
48,True,73.18970768118417,5,57.58897459226396,Tanker,Countdown
48,True,73.18970768118417,6,58.68211097071133,Tanker,Countdown
50,True,73.18970768118417,2,0.0,MTV,Countdown
50,True,73.18970768118417,3,9.669631529453866,MTV,Countdown
50,True,73.18970768118417,4,27.1867751921554,Tanker,Countdown
50,True,73.18970768118417,5,31.58897459226396,Tanker,Countdown
50,True,73.18970768118417,6,45.68211097071133,Tanker,Countdown
51,True,72.90057014327317,2,12.5,Tanker,Ascent
51,True,72.90057014327317,3,52.4737586608263,Tanker,Countdown
51,True,72.90057014327317,4,60.990902323527834,Tanker,Countdown
53,True,52.69506195792872,2,12.5,Tanker,Countdown
52,True,78.32010729710342,2,0.0,MTV,Countdown
52,True,78.32010729710342,3,9.669631529453866,MTV,Countdown
52,True,78.32010729710342,4,14.686775192155402,MTV,Countdown
52,True,78.32010729710342,5,28.08897459226396,Tanker,Countdown
52,True,78.32010729710342,6,48.68211097071133,Tanker,Countdown
52,True,78.32010729710342,7,62.186943009363475,Tanker,Countdown
52,True,78.32010729710342,8,69.35203510171694,Tanker,Countdown
54,True,59.09644301190074,2,6.0,Tanker,Countdown
54,True,59.09644301190074,3,19.169631529453866,Tanker,Countdown
54,True,59.09644301190074,4,27.6867751921554,Tanker,Countdown
63,False,3.0,2,3.0,MTV,Ascent
55,True,62.09644301190074,2,0.0,MTV,Countdown
55,True,62.09644301190074,3,28.669631529453866,Tanker,Countdown
55,True,62.09644301190074,4,43.6867751921554,Tanker,Countdown
56,True,52.69506195792872,2,6.0,Tanker,Countdown
57,True,54.807896189394874,2,12.5,Tanker,Countdown
57,True,54.807896189394874,3,25.669631529453866,Tanker,Countdown
60,True,46.278024904616785,0,,,
59,True,72.90057014327317,2,12.5,Tanker,Ascent
59,True,72.90057014327317,3,45.9737586608263,Tanker,Countdown
59,True,72.90057014327317,4,60.990902323527834,Tanker,Countdown
58,True,81.4236532217904,2,25.5,Tanker,Countdown
58,True,81.4236532217904,3,32.169631529453866,Tanker,Countdown
58,True,81.4236532217904,4,41.6867751921554,Tanker,Orbit Insertion
58,True,81.4236532217904,5,59.32292013287018,Tanker,Countdown
58,True,81.4236532217904,6,60.41605651131755,Tanker,Countdown
61,True,59.09644301190074,2,19.0,Tanker,Countdown
61,True,59.09644301190074,3,25.669631529453866,Tanker,Countdown
61,True,59.09644301190074,4,40.6867751921554,Tanker,Countdown
62,True,63.48878392002212,2,0.0,MTV,Countdown
62,True,63.48878392002212,3,22.169631529453866,Tanker,Countdown
62,True,63.48878392002212,4,30.6867751921554,Tanker,Countdown
62,True,63.48878392002212,5,35.08897459226396,Tanker,Countdown
64,False,53.58897459226396,2,0.0,MTV,Countdown
64,False,53.58897459226396,3,28.669631529453866,Tanker,Countdown
64,False,53.58897459226396,4,37.1867751921554,Tanker,Countdown
64,False,53.58897459226396,5,53.58897459226396,Tanker,Return to Base
65,True,59.09644301190074,2,25.5,Tanker,Countdown
65,True,59.09644301190074,3,45.169631529453866,Tanker,Countdown
65,True,59.09644301190074,4,47.1867751921554,Tanker,Countdown
67,True,66.48878392002213,2,0.0,MTV,Countdown
67,True,66.48878392002213,3,9.669631529453866,MTV,Countdown
67,True,66.48878392002213,4,20.6867751921554,Tanker,Countdown
67,True,66.48878392002213,5,44.58897459226396,Tanker,Countdown
68,False,63.48878392002212,2,0.0,MTV,Countdown
68,False,63.48878392002212,3,35.169631529453866,Tanker,Countdown
68,False,63.48878392002212,4,43.6867751921554,Tanker,Countdown
68,False,63.48878392002212,5,48.08897459226396,Tanker,Countdown
68,False,63.48878392002212,6,63.48878392002212,MTV,Begin Mars Transit
66,True,67.18970768118417,2,12.5,Tanker,Countdown
66,True,67.18970768118417,3,19.169631529453866,Tanker,Countdown
66,True,67.18970768118417,4,27.6867751921554,Tanker,Countdown
66,True,67.18970768118417,5,38.58897459226396,Tanker,Countdown
66,True,67.18970768118417,6,52.68211097071133,Tanker,Countdown
69,True,68.49918908930115,2,7.0,Tanker,Orbit Insertion
70,True,52.69506195792872,2,19.0,Tanker,Countdown
71,True,59.09644301190074,2,6.0,Tanker,Countdown
71,True,59.09644301190074,3,25.669631529453866,Tanker,Countdown
71,True,59.09644301190074,4,47.1867751921554,Tanker,Countdown
74,True,46.278024904616785,0,,,
73,True,52.69506195792872,2,38.5,Tanker,Countdown
77,False,30.6867751921554,2,6.0,Tanker,Countdown
77,False,30.6867751921554,3,25.669631529453866,Tanker,Countdown
77,False,30.6867751921554,4,30.6867751921554,Tanker,Redezvous
81,False,10.0,2,10.0,Tanker,RPOD
72,True,76.8922850991033,2,0.0,MTV,Countdown
72,True,76.8922850991033,3,15.669631529453866,Tanker,Countdown
72,True,76.8922850991033,4,17.6867751921554,Tanker,Countdown
72,True,76.8922850991033,5,22.08897459226396,Tanker,Countdown
72,True,76.8922850991033,6,29.682110970711328,Tanker,Countdown
72,True,76.8922850991033,7,43.186943009363475,Tanker,Countdown
72,True,76.8922850991033,8,56.852035101716936,Tanker,Countdown
72,True,76.8922850991033,9,58.183135313603024,Tanker,Countdown
75,True,54.807896189394874,2,19.0,Tanker,Countdown
75,True,54.807896189394874,3,25.669631529453866,Tanker,Countdown
76,True,66.49918908930115,2,12.5,Tanker,Ascent
88,False,12.669631529453866,2,0.0,MTV,Countdown
88,False,12.669631529453866,3,12.669631529453866,MTV,Ascent
80,True,52.69506195792872,2,38.5,Tanker,Countdown
78,True,62.09644301190074,2,0.0,MTV,Countdown
78,True,62.09644301190074,3,22.169631529453866,Tanker,Countdown
78,True,62.09644301190074,4,24.1867751921554,Tanker,Countdown
79,True,59.09644301190074,2,6.0,Tanker,Countdown
79,True,59.09644301190074,3,25.669631529453866,Tanker,Countdown
79,True,59.09644301190074,4,27.6867751921554,Tanker,Countdown
85,True,54.807896189394874,2,6.0,Tanker,Countdown
85,True,54.807896189394874,3,19.169631529453866,Tanker,Countdown
83,True,72.48878392002213,2,0.0,MTV,Countdown
83,True,72.48878392002213,3,9.669631529453866,MTV,Countdown
83,True,72.48878392002213,4,14.686775192155402,MTV,Countdown
83,True,72.48878392002213,5,22.08897459226396,MTV,Countdown
84,True,72.90057014327317,2,6.0,Tanker,Ascent
84,True,72.90057014327317,3,39.4737586608263,Tanker,Countdown
84,True,72.90057014327317,4,41.490902323527834,Tanker,Countdown
82,True,67.86310902530495,2,6.0,Tanker,Countdown
82,True,67.86310902530495,3,12.669631529453866,Tanker,Countdown
82,True,67.86310902530495,4,21.1867751921554,Tanker,Countdown
82,True,67.86310902530495,5,38.58897459226396,Tanker,Countdown
82,True,67.86310902530495,6,46.18211097071133,Tanker,Countdown
82,True,67.86310902530495,7,59.686943009363475,Tanker,Countdown
86,True,57.807896189394874,2,0.0,MTV,Countdown
86,True,57.807896189394874,3,15.669631529453866,Tanker,Countdown
87,True,59.09644301190074,2,19.0,Tanker,Countdown
87,True,59.09644301190074,3,25.669631529453866,Tanker,Countdown
87,True,59.09644301190074,4,27.6867751921554,Tanker,Countdown
89,True,55.69506195792872,2,0.0,MTV,Countdown
92,True,52.69506195792872,2,12.5,Tanker,Countdown
97,False,11.5,2,11.5,Tanker,Return to Base
90,True,70.20408954049006,2,12.5,Tanker,Countdown
90,True,70.20408954049006,3,19.169631529453866,Tanker,Ascent
90,True,70.20408954049006,4,38.79442172074472,Tanker,Countdown
91,True,59.09644301190074,2,19.0,Tanker,Countdown
91,True,59.09644301190074,3,32.169631529453866,Tanker,Countdown
91,True,59.09644301190074,4,40.6867751921554,Tanker,Countdown
96,False,30.58897459226396,2,0.0,MTV,Countdown
96,False,30.58897459226396,3,9.669631529453866,MTV,Countdown
96,False,30.58897459226396,4,20.6867751921554,Tanker,Countdown
96,False,30.58897459226396,5,30.58897459226396,Tanker,Return to Base
94,True,52.69506195792872,2,19.0,Tanker,Countdown
93,True,67.9155427179842,2,12.5,Tanker,Countdown
93,True,67.9155427179842,3,20.169631529453866,Tanker,Orbit Insertion
95,True,67.18970768118417,2,6.0,Tanker,Countdown
95,True,67.18970768118417,3,12.669631529453866,Tanker,Countdown
95,True,67.18970768118417,4,47.1867751921554,Tanker,Countdown
95,True,67.18970768118417,5,51.58897459226396,Tanker,Countdown
95,True,67.18970768118417,6,52.68211097071133,Tanker,Countdown
98,True,52.69506195792872,2,32.0,Tanker,Countdown
101,True,46.278024904616785,0,,,
99,True,59.09644301190074,2,12.5,Tanker,Countdown
99,True,59.09644301190074,3,38.669631529453866,Tanker,Countdown
